sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,637,244,1030,244,1030,0.0,2.769122730842378E-4,0.02923844759206779,393.0
Metrics,5,114,72,75,32,353,0.0,6.903458038780037E-4,0.04317587153914115,120.75263972269923
Create Account,50,2909,2630,4764,530,5653,0.0,1.7024174327545114,1.320038517194416,1492.8398440556177
Visit Account,50,2880,2481,4634,341,5385,0.0,1.505797319680771,1.7993689768107213,1485.554641337706
Stripe (Default) Payment Method,50,6864,7117,8862,3451,9452,0.0,1.2423286207667652,1.1076621394141177,1640.6551107408266
Authorize Payment,10324,11517,6440,31117,2860,45154,0.0,1.4325550209915656,1.2637934284868646,10026.327289556031
Capture Payment,10305,11800,6627,31735,3086,45419,0.0,1.4319313606724533,1.1122201765294848,10217.592363585934
Purchase Payment,10289,11541,6458,31122,3097,43487,0.0,1.4318867783786071,1.263205658748287,10036.86303253598
TOTAL,31075,11581,6509,31290,32,45419,0.0,4.29034574871262,3.707834182986318,10085.142498287581
