sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,545,256,835,835,289.5,0.0,1.387301392198566E-4,0.014952372339138589,110367.0
Metrics,5,116,36,310,94,98.95372655943788,0.0,3.463392975269296E-4,0.02213919843925659,65457.6
Create Account,50,3453,436,5332,4836,1345.370658368912,0.0,1.7106298539122105,1.3264063515686475,794.0
Visit Account,50,3289,367,5242,4669,1315.7948326391922,0.0,1.5215142109427302,1.8181500479276975,1223.64
Stripe (Default) Payment Method,50,8116,4438,13267,10184,1748.451900968398,0.0,1.244028662420382,1.1091778992087977,913.0
Authorize Payment,13764,17237,3518,50024,34248,11814.011528196499,0.1941296134844522,0.9561305305732533,0.8771047053193409,939.3646469049695
Capture Payment,13744,17785,3234,48094,35324,12188.891421066026,0.19419383003492433,0.9557381422130566,0.7955766844258909,852.3993015133876
Purchase Payment,13731,17276,4055,46298,34389,11842.773863514625,0.1945961692520574,0.9555910777259312,0.8766509588106562,939.4087102177555
TOTAL,41396,17385,36,50024,34663,11956.379399086276,0.19356942699777757,2.8673584872072633,2.586562543572995,923.721277418108
