sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,218,183,253,253,35.0,0.0,1.3878667828311163E-4,0.01587833448005826,117154.0
Metrics,5,38,16,77,53,23.103246525109846,0.0,3.4648927709239505E-4,0.022159342743797307,65488.8
Create Account,50,3034,376,5733,4994,1435.6347063233043,0.0,1.675266367352409,1.2973498333109965,793.0
Visit Account,50,3058,296,6010,4840,1439.4240653817062,0.0,1.504936190705514,1.7968702970744042,1222.64
Stripe (Default) Payment Method,50,8503,3226,13170,10850,2135.775016241174,0.0,1.1589096977563509,1.03215394956425,912.0
Authorize Payment,27397,8666,4965,16860,9587,765.3566455281807,2.9200277402635324E-4,1.9032715401681508,1.6773841763711725,902.4678614446838
Capture Payment,27384,8892,0,17471,9850,796.1916716006064,2.9214139643587495E-4,1.90386417544862,1.4770250667888956,794.4230937773882
Purchase Payment,27363,8693,4686,15246,9616,756.0984412253614,0.0,1.9023945016815158,1.6763999329750605,902.35412783686
TOTAL,82301,8742,0,17471,9696,810.7518069464547,1.9440833039695751E-4,5.703177275602451,4.864202851113957,873.3629482023305
