sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,218,183,253,183,253,0.0,1.3878667828311163E-4,0.01587833448005826,35.0
Metrics,5,38,29,53,16,77,0.0,3.4648927709239505E-4,0.022159342743797307,23.103246525109846
Create Account,50,3034,2857,4994,376,5733,0.0,1.675266367352409,1.2973498333109965,1435.6347063233043
Visit Account,50,3058,3078,4840,296,6010,0.0,1.504936190705514,1.7968702970744042,1439.4240653817062
Stripe (Default) Payment Method,50,8503,8924,10850,3226,13170,0.0,1.1589096977563509,1.03215394956425,2135.775016241174
Authorize Payment,27397,8666,8621,9587,4965,16860,2.9200277402635324E-4,1.9032715401681508,1.6773841763711725,765.3566455281807
Capture Payment,27384,8892,8844,9850,0,17471,2.9214139643587495E-4,1.90386417544862,1.4770250667888956,796.1916716006064
Purchase Payment,27363,8693,8652,9616,4686,15246,0.0,1.9023945016815158,1.6763999329750605,756.0984412253614
TOTAL,82301,8742,8705,9696,0,17471,1.9440833039695751E-4,5.703177275602451,4.864202851113957,810.7518069464547
