sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,326,256,397,256,397,0.0,2.7743106600945096E-4,0.028806095651226427,70.5
Metrics,5,35,20,54,10,74,0.0,6.916742889173306E-4,0.04328854344599877,24.579666393179544
Create Account,50,2881,2992,4909,363,5316,0.0,1.6816897618727298,1.303966475514597,1452.5129508544844
Visit Account,50,2962,2653,4890,279,5168,0.0,1.4793774779572755,1.7677982979762115,1534.5730774388032
Stripe (Default) Payment Method,50,7107,7702,8913,3176,9580,0.0,1.1840204598735466,1.0556744920552228,1791.9212634488163
Authorize Payment,18851,6285,6250,6713,2886,12941,0.0,2.620422895748704,2.3116858125927786,494.2300984403923
Capture Payment,18837,6462,6428,6903,2861,13392,0.0,2.622207874808889,2.0368293162113056,520.5363806798869
Purchase Payment,18820,6301,6276,6728,2889,11553,0.0,2.6238200477696974,2.3146842025364616,465.320270454739
TOTAL,56665,6343,6318,6797,10,13392,0.0,7.8384497783128975,6.712884493105857,531.4189291189443
