sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,734,247,1222,1222,487.5,0.0,1.3870681692683672E-4,0.01527840688302757,112792.5
Metrics,5,77,0,172,93,56.673097674293395,0.2,3.462853040464615E-4,0.017787431606055313,52599.2
Create Account,50,2914,484,5629,4944,1475.6300083693063,0.0,1.6750979932326042,1.2988552799088746,794.0
Visit Account,50,2915,270,5267,4840,1574.9760196269651,0.0,1.5172664926867754,1.813074190538326,1223.64
Stripe (Default) Payment Method,50,6926,3313,9205,8698,1655.2119119919337,0.0,1.2381141045958794,1.1039044702109746,913.0
Authorize Payment,19641,12094,3396,48397,33239,10814.250912492136,0.0,1.3637648491953538,1.203132189192707,903.3869456748638
Capture Payment,19624,12448,4253,51394,34292,11153.739152143382,0.0,1.3636188654696597,1.0591846694954485,795.3872808805544
Purchase Payment,19604,12103,2773,48814,33243,10779.294295530859,0.0,1.3632972209780039,1.2026560971058584,903.3392164864314
TOTAL,59026,12193,0,51394,33595,10912.647706458014,1.6941686714329277E-5,4.087892811968289,3.496354546780007,875.822146172873
