sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,396,307,486,307,486,0.0,1.3879196583274902E-4,0.015395403932677292,89.5
Metrics,5,39,21,65,18,76,0.0,3.465035642049621E-4,0.022137584840531438,25.32508637695043
Create Account,50,2969,2944,4887,418,6539,0.0,1.6960075981140394,1.3150683915063939,1463.544202407294
Visit Account,50,2943,2809,4697,399,5377,0.0,1.5047550258817866,1.7981234764355363,1490.8707114971444
Stripe (Default) Payment Method,50,6909,7308,8836,3711,9338,0.0,1.2361550632911393,1.1021577859226661,1578.2354208418972
Authorize Payment,35716,6641,6623,7066,3161,12379,0.0,2.4813856130629435,2.1890773752392647,423.12240684077744
Capture Payment,35701,6836,6806,7290,3603,13315,0.0,2.482334029503069,1.928107070071615,434.7891635171344
Purchase Payment,35681,6658,6641,7095,2936,10498,0.0,2.4828622591437117,2.1903809574803312,410.60563022211335
TOTAL,107255,6708,6689,7170,18,13315,0.0,7.432683126884158,6.33400688396792,453.397516637677
