sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Create Account,50,2809,311,5366,4988,1503.7460955892789,0.0,1.7548785624034817,1.35900263670504,793.0
Visit Account,50,3042,311,5766,4934,1521.722173854347,0.0,1.5051173991571343,1.7970866571342565,1222.64
Stripe (Default) Payment Method,50,7439,3196,10600,9322,1831.928106558768,0.0,1.2307995273729815,1.0961808290665616,912.0
Authorize Payment,26672,18341,5561,245574,45939,17573.05019742238,0.6889247150569886,0.9254806595465401,5.138508135020366,5685.513009898021
Capture Payment,26647,17449,0,246760,45788,16087.432390452976,0.692873494201974,0.9252278278475555,5.092239188276902,5635.858295492926
Purchase Payment,26634,18224,4797,236622,45890,16940.078844993295,0.6931741383194413,0.9244591823537909,5.139751036165968,5693.171923105805
TOTAL,80103,17979,0,246760,45868,16877.47104266564,0.6903611600064916,2.778695302598992,15.366191183385183,5662.722270077275
