sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,701,274,1128,1128,427.0,0.0,1.3864335535775462E-4,0.01491093039604445,110130.0
Metrics,5,115,35,318,76,102.64112236331012,0.0,3.46123304765931E-4,0.02166596683418804,64098.4
Create Account,50,2869,324,5613,4667,1477.51865016994,0.0,1.7077085966050753,1.3241412360394822,794.0
Visit Account,50,2956,286,5140,4815,1536.8784597358376,0.0,1.5051173991571343,1.798556498344371,1223.64
Stripe (Default) Payment Method,50,6572,3209,8605,8163,1568.896612144981,0.0,1.236124502459888,1.102130537837771,913.0
Authorize Payment,9504,25048,4007,47373,36764,11948.5115707534,0.0,0.6595505437856827,0.5818729006059967,903.3998316498316
Capture Payment,9488,25673,3856,52539,37391,12174.134671514395,0.0,0.6588928239432541,0.5118004741208871,795.4005059021922
Purchase Payment,9468,25117,3484,47372,36751,11925.975305463888,0.0,0.6580315889913011,0.5804693374428801,903.3010139416983
TOTAL,28617,25162,35,52539,36959,12091.27635163713,0.0,1.9809623543775998,1.7151965044895792,886.6201907956809
