sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,638,194,1083,194,1083,0.0,1.3863438888401744E-4,0.015577144058805935,444.5
Metrics,5,86,69,75,25,206,0.0,3.4610246058775537E-4,0.022124870185619594,62.243393223698845
Create Account,50,2876,2751,4636,347,5202,0.0,1.6991775980425474,1.3175263797322097,1360.2439647357382
Visit Account,50,2862,2633,4570,297,4866,0.0,1.5328019619865114,1.8316384694972412,1351.695418946147
Litle Payment Method,50,6596,6947,8195,2684,9585,0.0,1.25278745208088,1.1169872497557065,1718.0845757994591
Authorize Payment,33171,7169,7097,7731,3490,41080,0.0,2.3017606793410263,2.0306121770007888,1142.5038013721467
Capture Payment,33154,7382,7297,7958,4539,42390,0.0,2.302503418614067,1.7884256930636684,1214.1683909791657
Purchase Payment,33134,7150,7081,7713,3843,41188,0.0,2.303160544623023,2.031848072592306,1185.3473435238427
TOTAL,99616,7229,7155,7818,25,42390,0.0,6.895368786910428,5.879049491083594,1195.703196034649
