sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,362,263,462,263,462,0.0,1.3879173467461667E-4,0.015591164093120927,99.5
Metrics,5,40,24,55,11,93,0.0,3.465023395491464E-4,0.02213290461493992,30.528675044947494
Create Account,50,2983,2943,4884,496,5528,0.0,1.6912461101339467,1.3113763783655799,1417.2626953391532
Visit Account,50,2949,2774,4741,354,5341,0.0,1.4905351021016544,1.7811312229840512,1425.0239329920041
Stripe (Default) Payment Method,50,6947,7363,8379,3839,9881,0.0,1.2317091195743213,1.0981937755579643,1529.4366209817233
Authorize Payment,36098,6575,6553,7000,3264,11684,0.0,2.5080202036736403,2.212564748589004,414.49041589623107
Capture Payment,36084,6749,6731,7193,3490,12237,0.0,2.508959252635523,1.9488412340246275,426.6870569469208
Purchase Payment,36068,6597,6581,7031,3199,11345,0.0,2.509865878607193,2.2141937462949244,399.44831319030044
TOTAL,108407,6637,6620,7085,11,12237,0.0,7.512511092192447,6.401856800423522,441.6735005474146
