sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,433,326,541,541,107.5,0.0,1.3879412334578224E-4,0.01734865548311042,127995.5
Metrics,5,35,12,77,48,24.42130217658346,0.0,3.465102879597516E-4,0.022151482291314528,65461.6
Create Account,50,2999,434,6330,4972,1508.4113339537068,0.0,1.6431693450326992,1.2740981054257452,794.0
Visit Account,50,2882,289,5348,4699,1407.593328202432,0.0,1.5094795314575535,1.8037690760475786,1223.64
Stripe (Default) Payment Method,50,7217,3995,10101,8884,1619.638295546263,0.0,1.2272347945608955,1.0942044603848609,913.0
Authorize Payment,35538,6674,3453,13787,7100,450.46267579402274,1.969722550509314E-4,2.4692037391156805,2.1784756183066674,903.4325510720919
Capture Payment,35523,6870,0,14439,7307,483.83982188412295,1.9705542887706555E-4,2.4699236404712317,1.9185467974715804,795.4059341834868
Purchase Payment,35506,6691,3702,13489,7125,434.62555106597694,0.0,2.4687563881313905,2.177941188037733,903.3745845772545
TOTAL,106724,6741,0,14439,7195,485.6771388102228,1.3117949102357484E-4,7.396012886265547,6.305145446061199,872.9661556913159
