sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,308,238,379,379,70.5,0.0,2.774247162950817E-4,0.02966358360533671,109491.0
Metrics,5,40,10,75,75,28.610487587596264,0.0,6.916542918186288E-4,0.0432390652482451,64015.8
Create Account,50,2978,333,5436,4838,1448.0212049552308,0.0,1.6995819028518984,1.3178398738910229,794.0
Visit Account,50,3018,284,5319,4685,1429.257149710996,0.0,1.4720602955897073,1.7590545508744038,1223.64
Stripe (Default) Payment Method,50,6614,3118,9172,8446,1611.0761124167939,0.52,1.2188581736629125,1.2309515321047244,1034.16
Authorize Payment,31378,5183,2769,11850,6677,1032.8894174478978,0.9996175664478297,4.3608774066441045,4.425564854005876,1039.1895914334884
Capture Payment,31357,1067,0,13155,7356,2806.7060533573995,1.0,4.363859334458915,4.198874556326935,985.2855502758555
Purchase Payment,31351,5190,2730,12002,6710,1041.7804660137797,1.0,4.367104811908457,4.432241055007677,1039.2731651302988
TOTAL,94243,3814,0,13155,6729,2666.62140822551,0.9984826459259574,13.036258845602989,13.073050594348857,1026.8899971350656
