sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,308,238,379,238,379,0.0,2.774247162950817E-4,0.02966358360533671,70.5
Metrics,5,40,29,75,10,75,0.0,6.916542918186288E-4,0.0432390652482451,28.610487587596264
Create Account,50,2978,2822,4838,333,5436,0.0,1.6995819028518984,1.3178398738910229,1448.0212049552308
Visit Account,50,3018,2966,4685,284,5319,0.0,1.4720602955897073,1.7590545508744038,1429.257149710996
Stripe (Default) Payment Method,50,6614,6997,8446,3118,9172,0.52,1.2188581736629125,1.2309515321047244,1611.0761124167939
Authorize Payment,31378,5183,4632,6677,2769,11850,0.9996175664478297,4.3608774066441045,4.425564854005876,1032.8894174478978
Capture Payment,31357,1067,0,7356,0,13155,1.0,4.363859334458915,4.198874556326935,2806.7060533573995
Purchase Payment,31351,5190,4633,6710,2730,12002,1.0,4.367104811908457,4.432241055007677,1041.7804660137797
TOTAL,94243,3814,4468,6729,0,13155,0.9984826459259574,13.036258845602989,13.073050594348857,2666.62140822551
