sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,703,289,1118,289,1118,0.0,1.3835654287399466E-4,0.02238261621205935,414.5
Metrics,5,78,72,86,0,193,0.2,3.454128823806961E-4,0.017781477389618133,64.46270239448543
Create Account,120,6579,6377,11539,429,14086,0.0,1.681614349775785,1.3022658001681615,3564.0090852858384
Visit Account,120,6423,6822,10312,334,12533,0.0,1.5088266358195443,1.802340567318815,3270.8136270213163
Stripe (Default) Payment Method,120,16835,19193,24054,4579,26810,0.0,1.1820214536893845,1.052737857192108,6348.576604488245
Authorize Payment,8574,66504,69462,85420,13171,166568,0.36855609983671567,0.5938295746520792,0.5772449388910997,17400.07814867508
Capture Payment,8533,69712,72881,89395,18639,187951,0.37337395992030936,0.59172996864379,0.5683588550399575,17894.33867586694
Purchase Payment,8490,65819,68165,84991,18554,216896,0.4305064782096584,0.5896205121822959,0.5742543495754802,17222.55443578438
TOTAL,25964,66532,69762,86743,0,216896,0.385225697119088,1.7936223475783681,1.776998352466963,18759.03939515719
