sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,646,255,1038,1038,391.5,0.0,1.3867153089417968E-4,0.01510179014719359,111517.0
Metrics,5,149,28,364,150,115.28156834464042,0.0,3.4618899232554393E-4,0.022126885812607345,65449.6
Create Account,50,2930,337,5624,4845,1491.4115607705342,0.0,1.724078480052412,1.3368342901968897,794.0
Visit Account,50,3016,262,5151,4808,1495.347141502601,0.0,1.5037593984962407,1.7969337406015038,1223.64
Litle Payment Method,50,6440,2962,8905,8045,1600.0631257547275,0.0,1.22276295517351,1.0902173613998192,913.0
Authorize Payment,27960,8457,3520,50169,7563,6686.790799753349,2.861230329041488E-4,1.9405943535228485,1.712154637234481,903.4584406294707
Capture Payment,27943,8815,0,50934,7865,7049.389481738816,2.862971048205275E-4,1.940562520760366,1.5073845892708067,795.4197831299431
Purchase Payment,27924,8469,3348,49979,7547,6761.312426506799,0.0,1.9392614750054447,1.710819181498526,903.374230053001
TOTAL,83984,8572,0,50934,7695,6833.559769767925,1.9051247856734617E-4,5.814758966595254,4.96351049094518,874.0920770622976
