sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,676,248,1105,1105,428.5,0.0,1.3866698319716698E-4,0.015075362537027551,111325.5
Metrics,5,141,35,485,91,172.91338872395048,0.0,3.4617875770983367E-4,0.022144149115980616,65502.6
Create Account,50,3008,541,5590,4608,1391.4630069103525,0.0,1.656671415791392,1.2845674845101223,794.0
Visit Account,50,3079,438,5163,4804,1370.6020255347646,0.0,1.5119900813450664,1.8067690850948017,1223.64
Stripe (Default) Payment Method,50,8164,4418,12510,10224,1723.7184109940893,0.0,1.2514078338130397,1.1157571799524466,913.0
Authorize Payment,9367,25309,4247,51356,37921,12537.371519299062,1.0675776662752215E-4,0.6503908559503334,0.5738157672992545,903.4372798121063
Capture Payment,9353,26195,0,54039,39286,12984.66784968863,1.0691756655618518E-4,0.6499793463207819,0.5048900947331172,795.4213621297979
Purchase Payment,9335,25406,4672,50350,37998,12533.033582802651,0.0,0.6487331391929051,0.5722709033405691,903.3073379753615
TOTAL,28212,25519,0,54039,38408,12756.34728504161,7.08918190840777E-5,1.953243591118516,1.6924009384831082,887.2516305118389
