sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,795,242,1348,1348,553.0,0.0,1.3868097336569498E-4,0.015106610521559032,111545.0
Metrics,5,121,16,225,175,73.3784709570866,0.0,3.4621564831026683E-4,0.022137515418713897,65476.0
Create Account,50,2854,417,5535,4800,1429.5656583732,0.0,1.722000275520044,1.3352228698856592,794.0
Visit Account,50,2950,259,5062,4787,1487.4008096004254,0.0,1.5100265764677459,1.804422773465813,1223.64
Stripe (Default) Payment Method,50,6624,3266,9586,8247,1607.6764654618794,0.0,1.2281692908550514,1.095037658740881,913.0
Authorize Payment,8963,26589,5092,50201,36050,9958.892906925777,0.0,0.6221826762490528,0.5488623457142456,903.328015173491
Capture Payment,8940,27223,5572,48008,36718,10131.509161586553,0.0,0.6210483281886124,0.4824193370934313,795.4250559284117
Purchase Payment,8932,26596,4975,57736,35893,9854.811067931425,0.0,0.6209071361499475,0.5477500297350009,903.3493058665473
TOTAL,26992,26670,16,57736,36223,10109.60627409672,0.0,1.868977425893508,1.6210548338871187,888.1649007113218
