sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,332,259,406,259,406,0.0,1.3879276526055948E-4,0.015167785728155078,73.5
Metrics,5,42,18,79,15,87,0.0,3.465043566339264E-4,0.02216788692218406,32.938731001664294
Create Account,50,2916,2960,5229,523,5540,0.0,1.6958925482481428,1.3149791829189703,1483.616780843355
Visit Account,50,2953,2917,5023,380,5488,0.0,1.4852220406950838,1.7747823221446606,1523.3799000905842
Stripe (Default) Payment Method,50,7277,7707,8841,3851,10178,0.0,1.2098920776266757,1.0787416668683154,1564.0744817303312
Authorize Payment,35782,6631,6605,7059,3078,34877,0.0,2.4862181718632534,2.193345095830085,462.87960631980934
Capture Payment,35768,6813,6789,7255,3844,35082,0.0,2.4872859341991593,1.9319947956438144,469.9655303834332
Purchase Payment,35751,6652,6632,7085,3320,34810,0.0,2.4881549736861484,2.195054533502957,446.5178829353378
TOTAL,107458,6695,6675,7148,15,35082,0.0,7.446791628087026,6.3458153790457,487.0384590237555
