sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,332,259,406,406,73.5,0.0,1.3879276526055948E-4,0.015167785728155078,111906.5
Metrics,5,42,15,87,79,32.938731001664294,0.0,3.465043566339264E-4,0.02216788692218406,65511.2
Create Account,50,2916,523,5540,5229,1483.616780843355,0.0,1.6958925482481428,1.3149791829189703,794.0
Visit Account,50,2953,380,5488,5023,1523.3799000905842,0.0,1.4852220406950838,1.7747823221446606,1223.64
Stripe (Default) Payment Method,50,7277,3851,10178,8841,1564.0744817303312,0.0,1.2098920776266757,1.0787416668683154,913.0
Authorize Payment,35782,6631,3078,34877,7059,462.87960631980934,0.0,2.4862181718632534,2.193345095830085,903.3742104968978
Capture Payment,35768,6813,3844,35082,7255,469.9655303834332,0.0,2.4872859341991593,1.9319947956438144,795.3901252516216
Purchase Payment,35751,6652,3320,34810,7085,446.5178829353378,0.0,2.4881549736861484,2.195054533502957,903.3745349780426
TOTAL,107458,6695,15,35082,7148,487.0384590237555,0.0,7.446791628087026,6.3458153790457,872.6059855943718
