sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,334,207,462,207,462,0.0,1.38796993712635E-4,0.016687356527282562,127.5
Metrics,5,42,31,53,16,90,0.0,3.4651386606421303E-4,0.022156719238248867,27.065845636151845
Create Account,50,3135,3155,5095,357,5855,0.0,1.6992930940728657,1.3176159342713432,1580.8911513447085
Visit Account,50,3230,3227,5286,334,5611,0.0,1.467050055747902,1.7530675099759403,1580.0065266953802
Stripe (Default) Payment Method,50,6960,7554,8726,3398,9522,0.0,1.208108826443086,1.0771517173266967,1618.5940249488115
Authorize Payment,33608,7063,7051,7517,3353,12346,0.0,2.334717551486503,2.0596756761636024,414.9789652092602
Capture Payment,33591,7256,7233,7717,3996,12372,0.0,2.3351251879028125,1.8138174730681325,428.1143928532962
Purchase Payment,33576,7078,7066,7529,3429,11677,0.0,2.3358302841481606,2.0606581220174265,409.16366194514654
TOTAL,100932,7128,7115,7604,16,12372,0.0,6.9947589205318135,5.964422093297098,452.07298525919424
