sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,863,252,1475,252,1475,0.0,1.3863749290176036E-4,0.015199150570680445,611.5
Metrics,5,127,73,85,46,373,0.0,3.4610689276030215E-4,0.02210730737905433,123.27108338941456
Create Account,50,3090,3294,4731,488,5571,0.0,1.6578249336870028,1.2854619114721486,1447.0849871379362
Visit Account,50,2908,2997,4539,358,5239,0.0,1.5157945795185837,1.8113153117989451,1370.646540724486
Stripe (Default) Payment Method,50,7838,7952,9809,4795,12178,0.0,1.2388196526349695,1.104533537945046,1708.5574565697232
Authorize Payment,20857,11380,6720,32375,3253,50660,3.3561873711463776E-4,1.4479097846059774,1.2774823120337915,10235.85439512487
Capture Payment,20839,11730,6902,33472,0,52550,3.359086328518643E-4,1.4478727928520565,1.1247241515598487,10599.356464172346
Purchase Payment,20822,11410,6745,32379,3554,49186,0.0,1.4466826036590605,1.2762523712598735,10258.285735952115
TOTAL,62675,11489,6792,32716,0,52550,2.2337455125648185E-4,4.3383697185323875,3.7130163472219655,10361.061514814248
