sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,700,244,1156,1156,456.0,0.0,1.3870949128016652E-4,0.015036704872115397,111006.0
Metrics,5,128,1,402,85,140.39943019827396,0.2,3.462861434430788E-4,0.01779396758803252,52618.4
Create Account,50,3552,835,5701,5274,1511.8056599973427,0.0,1.6781902396455661,1.3012529787876754,794.0
Visit Account,50,3096,498,5143,4569,1335.0762706302585,0.0,1.503352476021528,1.7964474841396314,1223.64
Stripe (Default) Payment Method,50,9230,5718,16452,13459,2582.2980454626104,0.0,1.2076127910346828,1.076709451381509,913.0
Authorize Payment,8051,29444,3798,47230,37905,9457.944407454792,0.0,0.5593358721943585,0.49343583372916194,903.3539932927587
Capture Payment,8037,30421,4957,52537,39254,9753.07545263248,0.0,0.558989415020394,0.43417461732229395,795.354609929078
Purchase Payment,8022,29591,3496,48611,38113,9470.975498273441,0.0,0.5584178744953391,0.49262669088124916,903.3552729992521
TOTAL,24267,29659,1,52537,38422,9748.418355808479,4.120822516174228E-5,1.680635021990507,1.4570485626439442,887.7702229364982
