sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,624,291,958,291,958,0.0,1.3865490873040634E-4,0.013182168610435169,333.5
Metrics,5,73,24,75,0,266,0.4,3.461575234118449E-4,0.013457144158200636,100.16666112035482
Create Account,50,3004,3032,5143,472,5954,0.0,1.671681711802073,1.296206327315279,1546.4635373651718
Visit Account,50,3026,3013,4955,376,5332,0.0,1.4802534193853987,1.768845013766357,1590.9341081264179
Stripe (Default) Payment Method,50,7104,7706,8542,3549,9770,0.0,1.2142406139200543,1.08261882862208,1602.236379689337
Authorize Payment,13472,17647,7153,36407,3436,48698,1.484560570071259E-4,0.9351269557008594,0.824993243114267,13325.135823294748
Capture Payment,13455,18180,7384,37519,0,50189,1.4864362690449647E-4,0.9345437370636365,0.7259548463394433,13716.145352386537
Purchase Payment,13436,17642,7175,36318,3830,49887,0.0,0.9332167298616088,0.8232662355036595,13280.769924483873
TOTAL,40520,17770,7242,36730,0,50189,1.4807502467917077E-4,2.8052013361952106,2.4035159173887592,13446.086392416546
