sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,587,293,882,293,882,0.0,1.386635894442897E-4,0.015494031156460576,294.5
Metrics,5,130,69,185,45,286,0.0,3.4617228648526087E-4,0.022126629389680953,92.08995602127304
Create Account,50,2881,2877,4754,389,5407,0.0,1.6943409013893596,1.3137760504913587,1372.9096938983282
Visit Account,50,2862,2790,4686,313,5044,0.0,1.5062509414068384,1.7999110370537732,1414.8026136532258
Stripe (Default) Payment Method,50,6792,7278,8589,3538,9226,0.0,1.233015215407758,1.0993582926438312,1624.1561527143883
Authorize Payment,9600,24764,28898,35465,4453,46527,0.0,0.6663349799211059,0.5878557074853296,10972.787570478531
Capture Payment,9580,25477,29714,36619,4214,47511,0.0,0.6654701171269085,0.5169069416973155,11276.77235644709
Purchase Payment,9563,24838,28903,35564,4164,46176,0.0,0.6647841658602779,0.5864240460585313,10957.682505575081
TOTAL,28900,24912,29139,35888,45,47511,0.0,2.0008330111692176,1.733080628390858,11153.600250956673
