sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,671,256,1086,1086,415.0,0.0,1.386979769027646E-4,0.015222509306807623,112387.0
Metrics,5,129,1,429,79,152.3818886875996,0.2,3.4625741441001476E-4,0.017783632021615606,52592.2
Create Account,50,2903,557,5877,5053,1455.563312123523,0.0,1.667834150572067,1.2932229644084192,794.0
Visit Account,50,2909,412,5636,4736,1478.9724925095795,0.0,1.4570887367040652,1.7411641228325807,1223.64
Stripe (Default) Payment Method,50,6966,3936,10282,8733,1532.6417638835264,0.0,1.2021542604346989,1.0718426169696096,913.0
Authorize Payment,15955,14884,3116,50475,35086,12382.768644925045,0.0,1.1078698617110385,0.9773459735622533,903.3572547790661
Capture Payment,15941,15337,3861,49877,36203,12779.868616430838,0.0,1.107795038251278,0.8605070183907806,795.4171632896305
Purchase Payment,15919,14898,3684,48397,35088,12373.565621647846,0.0,1.1071896454016332,0.9767467706084794,903.3580626923801
TOTAL,47972,15004,1,50475,35487,12511.284812928745,2.0845493204369216E-5,3.3220700210811422,2.8476187234312995,877.7543983990661
