sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,1122,382,1862,1862,740.0,0.0,1.385923877992409E-4,0.010353081453622102,76494.5
Metrics,5,264,90,579,261,170.72715074058956,0.0,3.459813744386885E-4,0.022124765575994982,65482.6
Create Account,30,4251,1228,7431,6175,1699.1938183215664,0.0,1.3631406761177753,1.0582976928844057,795.0
Visit Account,30,4550,1758,6135,6036,1500.9082172693527,0.0,1.1430313190581423,1.365609878648175,1223.4
Stripe (Default) Payment Method,30,25644,14926,33995,32983,6099.70158004108,0.0,0.7558007709167863,0.6825825712342227,924.8
Authorize Payment,13733,10390,4835,59782,9598,7783.85987746409,0.0,0.9545212634155485,0.8439436596091892,905.3735527561348
Capture Payment,13720,10633,6899,58195,9819,7979.698593894844,0.0,0.9556965680114288,0.743253720207361,796.3739067055394
Purchase Payment,13713,10400,6729,55977,9659,7807.001893122178,0.0,0.9562114696565156,0.845438570730397,905.3740975716473
TOTAL,41263,10475,90,59782,9702,7865.98076058738,0.0,2.855167259051194,2.4558485811919466,880.7851586166784
