sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,986,270,1702,270,1702,0.0,1.384753955878554E-4,0.02033701858336347,716.0
Metrics,5,121,100,109,59,273,0.0,3.4570455521755635E-4,0.02211948733898551,78.31832480333067
Create Account,100,5579,5566,9903,474,10889,0.0,1.6651125616091649,1.2911126698414814,3045.988730707978
Visit Account,100,5763,5731,9194,407,10086,0.0,1.4754703061600887,1.7634175580966431,2993.777240143294
Stripe (Default) Payment Method,100,11464,12681,15142,3962,16316,0.0,1.227129376250138,1.0941104692542736,3845.018345547912
Authorize Payment,18146,26097,13936,68523,8167,103449,5.510856387082553E-5,1.257996363831738,1.1097712977117098,22899.70309667572
Capture Payment,18108,27095,14355,71362,0,102378,5.52242102937928E-5,1.2562812327207562,0.9758599887166756,23921.18796964392
Purchase Payment,18081,26204,13987,68605,9792,96704,0.0,1.254407962940955,1.1065682033207573,22977.15973055878
TOTAL,54642,26359,14095,69414,0,103449,3.6601881336700707E-5,3.777923216659423,3.244293377219431,23255.220298200955
