sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,430,255,606,255,606,0.0,1.3818194430424734E-4,0.019761907241777156,175.5
Metrics,5,131,80,128,57,327,0.0,3.44970641963457E-4,0.02208600420384674,100.72258932334891
Create Account,100,5425,5454,8770,312,10101,0.0,1.6735001255125093,1.2959820307924022,2655.875283216439
Visit Account,100,5357,5955,8257,235,9864,0.0,1.5145548723230244,1.8086506641323117,2481.244886322187
Stripe (Default) Payment Method,100,15746,17573,22127,3744,25529,0.0,1.1765951689002365,1.047905072301773,6020.15885314499
Authorize Payment,9378,50745,38488,88266,8600,169484,0.08221369161868203,0.6486193979113322,0.777820198205514,24064.228585479763
Capture Payment,9336,51993,39119,91580,0,175087,0.08836760925449871,0.6462037330309226,0.7313681508832766,24880.66298200011
Purchase Payment,9309,51401,38552,89036,10008,219225,0.08346761198839832,0.6443338661367841,0.7611382786488218,24474.187834741017
TOTAL,28330,50915,38643,89466,0,219225,0.08376279562301447,1.9545673817269409,2.3251306629674544,24754.693251260473
