sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,336,273,400,273,400,0.0,1.387983518806101E-4,0.015029801220634346,63.5
Metrics,5,40,21,73,15,77,0.0,3.465186690051594E-4,0.02165112262606124,28.017137612539937
Create Account,50,2915,2726,5093,432,5427,0.0,1.6704530268608848,1.2952536165308033,1481.1942242663513
Visit Account,50,2924,2853,4709,332,5639,0.0,1.495483639408985,1.7870445317640726,1537.7940611148165
Stripe (Default) Payment Method,50,6677,7162,8419,3194,8903,0.52,1.2422360248447206,1.2545613354037266,1618.288590950327
Authorize Payment,61735,5173,4661,6641,2812,12596,0.9997894225317892,4.28900628375721,4.345379454715917,979.0489439445328
Capture Payment,61711,1291,0,8088,0,14014,1.0,4.290529867332932,4.133232121435011,3358.6256314631996
Purchase Payment,61707,5182,4663,6673,2310,31391,1.0,4.291784002113794,4.348389284742311,995.8345555121339
TOTAL,185310,3882,4507,6700,0,31391,0.9992229237493929,12.842416802712936,12.83436791784218,2786.595181994587
