sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,668,375,962,375,962,0.0,1.3862251225440337E-4,0.01025068804850762,293.5
Metrics,5,192,169,209,84,409,0.0,3.460648036798593E-4,0.022115906632511916,118.12806609777373
Create Account,30,6600,4397,14672,772,16463,0.0,0.9694306210818846,0.7526341247657209,5165.253295821996
Visit Account,30,7822,6828,15213,1096,16121,0.0,0.8313934153641503,0.9932877972231459,4976.484069099387
Stripe (Default) Payment Method,30,22307,17717,33352,11508,35071,0.0,0.622639159852227,0.5623209912415424,9225.105305270683
Authorize Payment,4965,28735,37826,44339,4557,54024,0.0010070493454179255,0.3451255996513849,0.30515365579070364,15550.379693224224
Capture Payment,4957,29458,38639,45484,0,54402,0.0010086746015735323,0.34470546110944256,0.26812895897125344,15947.667916782657
Purchase Payment,4946,28794,37875,44374,7840,54478,0.0,0.3439256308455536,0.30407383073629846,15575.504155912713
TOTAL,14965,28881,38032,44724,0,54478,6.682258603407952E-4,1.0357441428893657,0.9116697921751519,15728.838763237052
