sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,643,256,1030,1030,387.0,0.0,1.3866573335383737E-4,0.015281871101152908,112851.5
Metrics,5,123,0,423,83,152.46376618724855,0.2,3.461778469302645E-4,0.017800235005427722,52653.4
Create Account,50,3090,372,5704,5134,1491.035657387173,0.0,1.700159815022612,1.3182879815702677,794.0
Visit Account,50,3141,384,5429,4899,1468.8713491657466,0.0,1.4852661596958174,1.7748350426271386,1223.64
Stripe (Default) Payment Method,50,7540,4465,10186,9210,1450.2817449033855,0.0,1.2053130197912398,1.0746589717474628,913.0
Authorize Payment,20455,11608,3166,48775,32580,10451.988493286055,0.0,1.4200384045585628,1.2527561433105465,903.3715472989489
Capture Payment,20442,11940,4479,51592,33589,10786.03525361245,0.0,1.420283710738191,1.103177332229942,795.3717835828197
Purchase Payment,20422,11639,3207,50272,32772,10469.142041667294,0.0,1.4200572834781182,1.2527736308688968,903.3721476838704
TOTAL,61476,11710,0,51592,32923,10565.06151451381,1.6266510508165787E-5,4.256246004317172,3.6389656227572424,875.4899960960374
