sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,643,256,1030,256,1030,0.0,1.3866573335383737E-4,0.015281871101152908,387.0
Metrics,5,123,62,83,0,423,0.2,3.461778469302645E-4,0.017800235005427722,152.46376618724855
Create Account,50,3090,3160,5134,372,5704,0.0,1.700159815022612,1.3182879815702677,1491.035657387173
Visit Account,50,3141,3018,4899,384,5429,0.0,1.4852661596958174,1.7748350426271386,1468.8713491657466
Stripe (Default) Payment Method,50,7540,7888,9210,4465,10186,0.0,1.2053130197912398,1.0746589717474628,1450.2817449033855
Authorize Payment,20455,11608,6732,32580,3166,48775,0.0,1.4200384045585628,1.2527561433105465,10451.988493286055
Capture Payment,20442,11940,6902,33589,4479,51592,0.0,1.420283710738191,1.103177332229942,10786.03525361245
Purchase Payment,20422,11639,6750,32772,3207,50272,0.0,1.4200572834781182,1.2527736308688968,10469.142041667294
TOTAL,61476,11710,6796,32923,0,51592,1.6266510508165787E-5,4.256246004317172,3.6389656227572424,10565.06151451381
