sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,4393,1568,7218,7218,2825.0,0.0,1.3854971149793575E-4,0.020540468288153195,151811.5
Metrics,5,117,23,399,93,142.69183578607434,0.0,3.46056181113624E-4,0.022113530685943565,65435.2
Create Account,100,5705,681,11027,9856,3074.6647642304024,0.0,1.6755189920077744,1.2991817184122783,794.0
Visit Account,100,5854,571,10493,9541,3047.169683804957,0.0,1.4739262447307138,1.7615721634289419,1223.84
Stripe (Default) Payment Method,100,11795,4021,16539,15537,3729.446787004743,0.0,1.2267229323584974,1.0937480832454183,913.0
Authorize Payment,32942,14397,9080,86904,14792,6336.0680306448585,3.946329913180742E-4,2.286457869886374,2.0173309986871018,903.4703721692672
Capture Payment,32912,14832,0,99195,15230,6643.55884307979,3.949927078269324E-4,2.2864204258374676,1.7761284560425392,795.459801895965
Purchase Payment,32882,14421,8688,86617,14792,6426.079194424217,0.0,2.2843602672761256,2.015204390524525,903.3466942400097
TOTAL,99043,14529,0,99195,14974,6478.956281927912,2.625122421574468E-4,6.851458595656788,5.84826208898806,874.0650323596822
