sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,171,166,177,166,177,0.0,1.3878609080246536E-4,0.017422736894151875,5.5
Metrics,5,32,23,56,1,68,0.2,3.464859155900714E-4,0.017793066861005995,25.1666445916018
Create Account,50,3052,3219,4663,425,5045,0.0,1.7085255424568597,1.3231062062190329,1278.1443267487432
Visit Account,50,2820,2970,4185,421,4793,0.0,1.5563233417374793,1.8582257524823356,1171.357117876525
Stripe (Default) Payment Method,50,8926,9042,10861,4734,11803,0.0,1.190561230564088,1.0603435959711407,1743.3980295962224
Authorize Payment,27324,8691,8641,9610,4987,21450,3.6597862684819206E-5,1.8984302308130985,1.6729791836281027,777.7933916220998
Capture Payment,27305,8923,8865,9878,0,16112,1.4649331624244644E-4,1.8991313308608806,1.4742973219509605,774.5623535495607
Purchase Payment,27289,8708,8658,9660,4793,22123,0.0,1.8979635752907107,1.6724881240566345,746.7317128256427
TOTAL,82075,8767,8718,9726,0,22123,7.310386841303686E-5,5.68749457323279,4.848931950929136,805.7004098666788
