sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,171,166,177,177,5.5,0.0,1.3878609080246536E-4,0.017422736894151875,128549.5
Metrics,5,32,1,68,56,25.1666445916018,0.2,3.464859155900714E-4,0.017793066861005995,52585.4
Create Account,50,3052,425,5045,4663,1278.1443267487432,0.0,1.7085255424568597,1.3231062062190329,793.0
Visit Account,50,2820,421,4793,4185,1171.357117876525,0.0,1.5563233417374793,1.8582257524823356,1222.64
Stripe (Default) Payment Method,50,8926,4734,11803,10861,1743.3980295962224,0.0,1.190561230564088,1.0603435959711407,912.0
Authorize Payment,27324,8691,4987,21450,9610,777.7933916220998,3.6597862684819206E-5,1.8984302308130985,1.6729791836281027,902.3932806324111
Capture Payment,27305,8923,0,16112,9878,774.5623535495607,1.4649331624244644E-4,1.8991313308608806,1.4742973219509605,794.9321003479216
Purchase Payment,27289,8708,4793,22123,9660,746.7317128256427,0.0,1.8979635752907107,1.6724881240566345,902.3502143720913
TOTAL,82075,8767,0,22123,9726,805.7004098666788,7.310386841303686E-5,5.68749457323279,4.848931950929136,873.0217240328967
