sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,488,210,766,766,278.0,0.0,1.383738786094394E-4,0.020637842393190067,152725.0
Metrics,5,112,39,317,86,103.61467077590895,0.0,3.454498247256679E-4,0.022113781611940737,65550.8
Create Account,100,5651,329,10733,9732,3070.5469762079847,0.0,1.6777116013757234,1.2992434569247546,793.0
Visit Account,100,5750,285,10147,8976,2853.141093233912,0.0,1.5135920566688865,1.8075008892353333,1222.84
Stripe (Default) Payment Method,100,13971,3547,23099,19516,5302.672614785869,0.0,1.1845534233593935,1.0549928926794598,912.0
Authorize Payment,12656,37655,10069,143487,78871,28557.469937209367,0.014301517067003793,0.8765088629825362,0.8083459671415831,944.3672566371681
Capture Payment,12625,38466,10111,145627,81159,29059.760584351698,0.01401980198019802,0.875100766553614,0.7445250100333336,871.2066534653466
Purchase Payment,12593,37843,10063,153753,79378,28673.74329219465,0.013420154053839435,0.8739393344667086,0.8076177832861549,946.2906376558406
TOTAL,38181,37749,39,153753,79704,28777.610024754176,0.01380267672402504,2.6378829450411,2.4149753299547254,937.4694743458789
