sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,348,266,431,431,82.5,0.0,1.3880582709638269E-4,0.015143390410058091,111716.0
Metrics,5,37,1,86,62,31.818233766191362,0.2,3.4653773799432137E-4,0.017827471491553178,52679.2
Create Account,50,3017,484,5646,5136,1504.8850599298275,0.0,1.6672224074691564,1.2927486245415138,794.0
Visit Account,50,2994,291,5574,4840,1497.6167600557892,0.0,1.5219310260858978,1.8186481257419413,1223.64
Stripe (Default) Payment Method,50,6987,3297,9426,8735,1648.7348168823241,0.0,1.2330760314681004,1.0994125163382575,913.0
Authorize Payment,35435,6695,3631,35349,7121,438.7393957484838,0.0,2.4621223306887026,2.172096522504083,903.3778749823621
Capture Payment,35413,6885,3920,15415,7332,426.36857531468905,2.8238217603704854E-5,2.4622756536124037,1.9125488557741486,795.3821195606133
Purchase Payment,35397,6716,3135,15152,7143,397.8822416883888,2.8250981721614828E-5,2.4630733828448403,2.1729375404893303,903.3787044099782
TOTAL,106402,6761,1,35349,7213,451.80499556552496,2.819495874137704E-5,7.374318061666437,6.2800835192963005,872.0542658972576
