sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,454,315,594,315,594,0.0,1.386527651555618E-4,0.008934572957802487,139.5
Metrics,5,200,173,205,131,362,0.0,3.4613981417830217E-4,0.022564935612802466,85.14082452032041
Create Account,30,4840,4230,9078,778,11012,0.0,1.172745396974317,0.9104810455025214,2880.9012085341174
Visit Account,30,7121,5416,12047,972,12416,0.0,0.8411608019066311,1.0049571533716528,4279.60487649139
Stripe (Default) Payment Method,30,22900,22651,32276,11831,33542,0.0,0.6448423360488361,0.5814916143627883,7762.230102232216
Authorize Payment,9975,14297,8365,41740,5611,60685,3.007518796992481E-4,0.6934975720980238,0.6131700166394227,13057.841186641996
Capture Payment,9966,14664,8567,42978,0,58378,3.0102347983142685E-4,0.6931994807750869,0.5391540422525116,13433.394211222132
Purchase Payment,9954,14301,8388,41660,5107,59302,0.0,0.6923210784017106,0.6120980897999697,13058.415517019297
TOTAL,29992,14409,8453,42075,0,60685,2.0005334755934917E-4,2.076237629245654,1.7938290797832313,13177.503446541725
