sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,858,274,1443,1443,584.5,0.0,1.386365030605741E-4,0.015288532997913867,112924.5
Metrics,5,123,28,364,86,121.8106727672087,0.0,3.4610540737090993E-4,0.022120394249880906,65446.2
Create Account,50,3072,642,5315,4524,1325.902495510133,0.0,1.7424031223863954,1.3510430460691385,794.0
Visit Account,50,2879,289,5490,4606,1301.28946218741,0.0,1.5489467162329618,1.8509308201672863,1223.64
Stripe (Default) Payment Method,50,8275,4552,13364,10788,2005.8655432505982,0.0,1.2539499423183027,1.1180237278677834,913.0
Authorize Payment,9574,24801,5439,48171,37179,12474.55521741393,0.0,0.6646665576707929,0.5863844855915439,903.3969082932944
Capture Payment,9564,25568,5090,46835,38485,12867.095636507755,0.0,0.6646754203112966,0.5162900880625435,795.3973232956922
Purchase Payment,9544,24870,4249,47020,37403,12493.86992532884,0.0,0.6638247769676728,0.58557812785172,903.298616932104
TOTAL,28839,24968,28,48171,37676,12675.894160532907,0.0,1.996226972508842,1.7289375285444744,886.8891431741739
