sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,836,312,1361,1361,524.5,0.0,1.385705711165303E-4,0.010152256515224506,75022.5
Metrics,5,191,75,377,264,114.75295203174512,0.0,3.459338827639757E-4,0.022100175282968725,65418.8
Create Account,30,5963,776,16374,13770,4561.168939354618,0.0,0.9690861517588913,0.7523666900862487,795.0
Visit Account,30,7913,1057,16157,15350,5221.3591742636,0.0,0.8096291898310575,0.967285498866519,1223.4
Stripe (Default) Payment Method,30,22748,12160,34104,33220,8899.471573576093,0.0,0.6153972389177214,0.55662199481015,926.2
Authorize Payment,3967,35924,5196,65930,49233,15176.07432062955,0.001008318628686665,0.2756375969404296,0.24371249935554862,905.3975296193597
Capture Payment,3957,36962,0,60298,50389,15599.998401300489,0.0010108668182966893,0.2750735215145797,0.2139810564140548,796.5746777862016
Purchase Payment,3942,36130,7923,60956,49494,15259.909075580892,0.0,0.274031395989757,0.24226334122581292,905.2891933028919
TOTAL,11963,36136,0,65930,49700,15480.321465260677,6.687285797876786E-4,0.8276626255356925,0.7349499220395148,909.2940733929616
