sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,653,254,1052,1052,399.0,0.0,1.3867254046568734E-4,0.01517584072481086,112063.0
Metrics,5,118,2,327,93,109.45757168875986,0.2,3.461955840260649E-4,0.0178430691566184,52777.4
Create Account,50,3263,419,5679,4841,1423.2841790731743,0.0,1.7032873445750298,1.3207130386646226,794.0
Visit Account,50,3126,358,4911,4772,1380.187610580533,0.0,1.5097074187022554,1.8040413924031522,1223.64
Stripe (Default) Payment Method,50,7587,4950,12406,9339,1766.3375669446668,0.0,1.2400793650793651,1.1056566995287698,913.0
Authorize Payment,16933,14023,3280,47961,34182,11861.769034029203,0.0,1.175699316479398,1.0372431203008132,903.4086694619973
Capture Payment,16921,14422,3773,51631,35154,12203.04993757817,0.0,1.1760359990311482,0.9134871139101128,795.3930027776136
Purchase Payment,16898,14071,3574,51380,34241,11901.72797803306,0.0,1.1754097709536895,1.0369118851505428,903.3426440998935
TOTAL,50909,14142,2,51631,34498,11985.66249772164,1.9642892219450393E-5,3.5248280582655624,3.019383672837222,877.1630360054214
