sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,393,286,500,500,107.0,0.0,1.3880207012183422E-4,0.01505107838104319,111038.0
Metrics,5,40,13,86,51,25.943014474035202,0.2,3.465284914339543E-4,0.017819144770455368,52656.0
Create Account,50,3416,504,5827,5046,1454.9191312234507,0.0,1.682255568265931,1.3044051964874503,794.0
Visit Account,50,3060,388,4662,4242,1223.7063935438116,0.0,1.515059693351918,1.8104371515362705,1223.64
Stripe (Default) Payment Method,50,8577,5368,14181,11744,1981.0942674188925,0.0,1.245112931742909,1.1101446354309337,913.0
Authorize Payment,35692,6644,3099,16141,7073,468.82720702308234,1.96122380365348E-4,2.4808359385632364,2.1887337018768083,903.4306847472823
Capture Payment,35679,6837,0,12625,7278,466.612126372757,1.9619383951343929E-4,2.482287982279529,1.9281466657313182,795.4041593093976
Purchase Payment,35661,6663,3673,12363,7093,425.5811956462544,0.0,2.481024624696412,2.188760302968547,903.372956451025
TOTAL,107189,6712,0,16141,7166,482.43190372860863,1.3993973262181754E-4,7.42865300957161,6.326147500750219,872.0255250072303
