sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,393,286,500,286,500,0.0,1.3880207012183422E-4,0.01505107838104319,107.0
Metrics,5,40,28,51,13,86,0.2,3.465284914339543E-4,0.017819144770455368,25.943014474035202
Create Account,50,3416,3695,5046,504,5827,0.0,1.682255568265931,1.3044051964874503,1454.9191312234507
Visit Account,50,3060,3440,4242,388,4662,0.0,1.515059693351918,1.8104371515362705,1223.7063935438116
Stripe (Default) Payment Method,50,8577,8034,11744,5368,14181,0.0,1.245112931742909,1.1101446354309337,1981.0942674188925
Authorize Payment,35692,6644,6610,7073,3099,16141,1.96122380365348E-4,2.4808359385632364,2.1887337018768083,468.82720702308234
Capture Payment,35679,6837,6816,7278,0,12625,1.9619383951343929E-4,2.482287982279529,1.9281466657313182,466.612126372757
Purchase Payment,35661,6663,6645,7093,3673,12363,0.0,2.481024624696412,2.188760302968547,425.5811956462544
TOTAL,107189,6712,6690,7166,0,16141,1.3993973262181754E-4,7.42865300957161,6.326147500750219,482.43190372860863
