sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Create Account,50,2946,443,5442,4881,1433.2947225187152,0.0,1.7249706754985163,1.3358415485061754,793.0
Visit Account,50,2710,256,5078,4313,1305.8248306721696,0.0,1.5157945795185837,1.809835043654884,1222.64
Stripe (Default) Payment Method,50,7544,3437,10604,9775,1923.454714829545,0.0,1.1840204598735466,1.0545182220748774,912.0
Authorize Payment,27686,8574,3934,16143,9513,754.4044649390341,2.889547063497797E-4,1.9232472493903452,1.694979921383118,902.462977678249
Capture Payment,27672,8812,0,16515,9774,785.2251117088748,3.2523850823937554E-4,1.923557496970112,1.492642444817284,794.6036788089043
Purchase Payment,27656,8590,4092,14911,9544,753.0829944564466,0.0,1.9224378090743153,1.694105457728195,902.3771695111368
TOTAL,83164,8651,0,16515,9623,800.6988178112947,2.044153720359771E-4,5.773872802062609,4.886803770544306,866.6777451782021
