sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Create Account,50,2946,2843,4881,443,5442,0.0,1.7249706754985163,1.3358415485061754,1433.2947225187152
Visit Account,50,2710,2435,4313,256,5078,0.0,1.5157945795185837,1.809835043654884,1305.8248306721696
Stripe (Default) Payment Method,50,7544,7457,9775,3437,10604,0.0,1.1840204598735466,1.0545182220748774,1923.454714829545
Authorize Payment,27686,8574,8519,9513,3934,16143,2.889547063497797E-4,1.9232472493903452,1.694979921383118,754.4044649390341
Capture Payment,27672,8812,8753,9774,0,16515,3.2523850823937554E-4,1.923557496970112,1.492642444817284,785.2251117088748
Purchase Payment,27656,8590,8543,9544,4092,14911,0.0,1.9224378090743153,1.694105457728195,753.0829944564466
TOTAL,83164,8651,8605,9623,0,16515,2.044153720359771E-4,5.773872802062609,4.886803770544306,800.6988178112947
