sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,757,269,1246,1246,488.5,0.0,1.386627338217682E-4,0.014849979856637986,109664.5
Metrics,5,92,1,255,90,86.22435850732668,0.2,3.4617449146794114E-4,0.017793098412630715,52632.8
Create Account,50,3107,597,5718,4570,1386.9794555075428,0.0,1.6485871608031917,1.2782990289821623,794.0
Visit Account,50,3115,340,5265,4721,1416.5189107103372,0.0,1.4856192060850963,1.7752569192714525,1223.64
Stripe (Default) Payment Method,50,7594,4090,11626,9544,1692.2684185435826,0.0,1.2058653289600616,1.0751514114653675,913.0
Authorize Payment,19484,12182,3287,50319,33548,11005.012638438058,0.0,1.3527314636423913,1.1934025029593605,903.3900636419627
Capture Payment,19467,12560,3257,51736,34610,11370.126586885644,0.0,1.352657192808647,1.0506743666328786,795.3904042738994
Purchase Payment,19451,12206,3728,46682,33518,11001.378630918984,0.0,1.3526450047823453,1.1932625859363515,903.3418847360033
TOTAL,58559,12295,1,51736,33903,11121.645563251794,1.7076794344165715E-5,4.054246972382602,3.467454100087366,875.7909971140217
