sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Create Account,50,2955,288,5631,5150,1571.149120357454,0.0,1.7016063163626465,1.3177478602300572,793.0
Visit Account,50,3050,207,5138,4874,1570.210266684051,0.0,1.4799905280606205,1.7670855656523798,1222.64
Stripe (Default) Payment Method,50,6475,1351,9472,8736,2379.164466782403,0.0,1.193659281894576,1.0631027979373568,912.0
Authorize Payment,8493,28221,2697,67845,30333,6447.995197085895,4.709760979630284E-4,0.5890227057052394,0.5659158000520709,983.8292711644884
Capture Payment,8472,28336,0,378103,30371,7402.380764549863,4.7214353163361664E-4,0.5874076360080603,0.5586136976768139,973.8048866855524
Purchase Payment,8461,28341,5706,358076,30335,7261.709506420661,2.3637867864318638E-4,0.5865970376468287,0.5637161307113743,984.0576763975889
TOTAL,25576,28158,0,378103,30351,7269.036176103133,3.9099155458242104E-4,1.7725212631861418,1.6972889046751078,980.5376524867063
