sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,570,344,797,797,226.5,0.0,2.7679492513112467E-4,0.02900778378468898,107314.0
Metrics,5,73,1,136,103,50.22588973826148,0.2,6.900851192391177E-4,0.034724624940462905,51527.0
Create Account,50,11308,957,25440,21807,8260.992225852777,0.0,1.147025762198619,0.8893930226422885,794.0
Visit Account,50,10263,838,24312,19981,6180.920370818571,0.0,0.9345095693779905,1.1167024311266447,1223.64
Stripe (Default) Payment Method,50,27232,17062,49733,36837,8089.975640902763,0.0,0.6770205678848524,0.6111961853276103,924.44
Authorize Payment,4036,32083,6485,53166,38897,5903.94333738443,0.9900891972249752,0.5616981431951718,0.6511773049908188,1187.1243805748265
Capture Payment,4023,24512,0,56454,39798,16029.821845436329,1.0,0.5606440424567664,0.6162013352905705,1125.4737757892121
Purchase Payment,4006,32330,7063,51481,38924,5542.60245764861,0.9975037443834248,0.5582732160690151,0.6486784565243687,1189.8237643534699
TOTAL,12222,29460,0,56454,39143,11102.202464525517,0.9831451480936017,1.6867604896711796,1.9818499872064559,1203.143184421535
