sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,570,344,797,344,797,0.0,2.7679492513112467E-4,0.02900778378468898,226.5
Metrics,5,73,98,103,1,136,0.2,6.900851192391177E-4,0.034724624940462905,50.22588973826148
Create Account,50,11308,7582,21807,957,25440,0.0,1.147025762198619,0.8893930226422885,8260.992225852777
Visit Account,50,10263,10109,19981,838,24312,0.0,0.9345095693779905,1.1167024311266447,6180.920370818571
Stripe (Default) Payment Method,50,27232,25129,36837,17062,49733,0.0,0.6770205678848524,0.6111961853276103,8089.975640902763
Authorize Payment,4036,32083,32657,38897,6485,53166,0.9900891972249752,0.5616981431951718,0.6511773049908188,5903.94333738443
Capture Payment,4023,24512,31985,39798,0,56454,1.0,0.5606440424567664,0.6162013352905705,16029.821845436329
Purchase Payment,4006,32330,32634,38924,7063,51481,0.9975037443834248,0.5582732160690151,0.6486784565243687,5542.60245764861
TOTAL,12222,29460,32421,39143,0,56454,0.9831451480936017,1.6867604896711796,1.9818499872064559,11102.202464525517
