sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,836,262,1411,262,1411,0.0,1.3871201180827615E-4,0.015733856960485525,574.5
Metrics,5,156,129,138,36,422,0.0,3.4629046040424844E-4,0.02212396996335416,138.42774288414878
Create Account,50,2882,2752,5142,467,5593,0.0,1.6632293260594773,1.2896524266515867,1451.7317026227677
Visit Account,50,2873,2832,4628,301,5321,0.0,1.4747957407899006,1.7623233010353068,1450.9940814489903
Stripe (Default) Payment Method,50,6895,7323,8525,3578,9861,0.0,1.199385914411821,1.069374355330071,1624.082414780727
Authorize Payment,28162,8423,6577,7716,2898,48085,0.0,1.9556705418044888,1.7252892429925857,6817.9753443864565
Capture Payment,28146,8681,6755,7977,3120,49594,0.0,1.9561296266347212,1.519384103246337,7098.328153242543
Purchase Payment,28132,8442,6607,7740,2992,47079,0.0,1.9567515614817643,1.7262436728749175,6799.66543815068
TOTAL,84597,8507,6646,7820,36,49594,0.0,5.858914415469799,5.001288164978337,6904.784330091728
