sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Threads,2,836,262,1411,1411,574.5,0.0,1.3871201180827615E-4,0.015733856960485525,116150.5
Metrics,5,156,36,422,138,138.42774288414878,0.0,3.4629046040424844E-4,0.02212396996335416,65421.8
Create Account,50,2882,467,5593,5142,1451.7317026227677,0.0,1.6632293260594773,1.2896524266515867,794.0
Visit Account,50,2873,301,5321,4628,1450.9940814489903,0.0,1.4747957407899006,1.7623233010353068,1223.64
Stripe (Default) Payment Method,50,6895,3578,9861,8525,1624.082414780727,0.0,1.199385914411821,1.069374355330071,913.0
Authorize Payment,28162,8423,2898,48085,7716,6817.9753443864565,0.0,1.9556705418044888,1.7252892429925857,903.3710673957816
Capture Payment,28146,8681,3120,49594,7977,7098.328153242543,0.0,1.9561296266347212,1.519384103246337,795.3712783343992
Purchase Payment,28132,8442,2992,47079,7740,6799.66543815068,0.0,1.9567515614817643,1.7262436728749175,903.3714631025167
TOTAL,84597,8507,36,49594,7820,6904.784330091728,0.0,5.858914415469799,5.001288164978337,874.1071669208128
