sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Threads,2,740,261,1219,261,1219,0.0,1.383313654543836E-4,0.021770033727607697,479.0
Metrics,5,92,73,82,1,273,0.2,3.453480853142384E-4,0.0177792883710732,94.97662870411858
Create Account,120,6623,6326,11425,528,13341,0.0,1.675603217158177,1.2976106945375334,3497.2834425748706
Visit Account,120,6671,6771,10901,325,13542,0.0,1.5218962827683293,1.8179526690256058,3421.177963060465
Stripe (Default) Payment Method,120,17030,18915,25005,3967,28779,0.0,1.1463617344453043,1.020978419740349,6801.301459397105
Authorize Payment,8054,70511,74571,93358,8755,189205,0.345045939905637,0.5577089201227735,0.555347381151876,21016.303414851496
Capture Payment,8006,74344,78381,97741,0,181710,0.33062702972770425,0.5548557291938112,0.5477885155363762,21702.50501926183
Purchase Payment,7973,70435,73696,92994,10220,170653,0.3789038003261006,0.5525699283724387,0.5561999207512983,20479.661784857766
TOTAL,24400,70833,75260,94894,0,189205,0.3462295081967213,1.6852665297364589,1.717356511965703,22316.9555237489
